iso3,cname,vaccine,year,age_group,coverage,zero_dose,pct_zero_dose
AFG,Afghanistan,dtp1,2019,si,75,331181,25
AFG,Afghanistan,dtp1,2020,si,78,296837,22
AFG,Afghanistan,dtp1,2021,si,74,360765,26
AFG,Afghanistan,dtp3,2019,si,72,,
AFG,Afghanistan,dtp3,2020,si,70,,
AFG,Afghanistan,dtp3,2021,si,66,,
BDI,Burundi,dtp1,2019,si,97,12499,3
BDI,Burundi,dtp1,2020,si,98,8421,2
BDI,Burundi,dtp1,2021,si,96,16946,4
BDI,Burundi,dtp3,2019,si,93,,
BDI,Burundi,dtp3,2020,si,93,,
BDI,Burundi,dtp3,2021,si,94,,
BEN,Benin,dtp1,2019,si,84,70694,16
BEN,Benin,dtp1,2020,si,83,76195,17
BEN,Benin,dtp1,2021,si,84,72787,16
BEN,Benin,dtp3,2019,si,76,,
BEN,Benin,dtp3,2020,si,72,,
BEN,Benin,dtp3,2021,si,76,,
BFA,Burkina Faso,dtp1,2019,si,95,36840,5
BFA,Burkina Faso,dtp1,2020,si,95,37240,5
BFA,Burkina Faso,dtp1,2021,si,95,37706,5
BFA,Burkina Faso,dtp3,2019,si,91,,
BFA,Burkina Faso,dtp3,2020,si,91,,
BFA,Burkina Faso,dtp3,2021,si,91,,
BGD,Bangladesh,dtp1,2019,si,99,29724,1
BGD,Bangladesh,dtp1,2020,si,99,29581,1
BGD,Bangladesh,dtp1,2021,si,99,29577,1
BGD,Bangladesh,dtp3,2019,si,98,,
BGD,Bangladesh,dtp3,2020,si,98,,
BGD,Bangladesh,dtp3,2021,si,98,,
CAF,Central African Republic,dtp1,2019,si,54,95451,46
CAF,Central African Republic,dtp1,2020,si,54,98488,46
CAF,Central African Republic,dtp1,2021,si,54,102416,46
CAF,Central African Republic,dtp3,2019,si,42,,
CAF,Central African Republic,dtp3,2020,si,42,,
CAF,Central African Republic,dtp3,2021,si,42,,
CIV,Côte d'Ivoire,dtp1,2019,si,92,68990,8
CIV,Côte d'Ivoire,dtp1,2020,si,84,140148,16
CIV,Côte d'Ivoire,dtp1,2021,si,85,133748,15
CIV,Côte d'Ivoire,dtp3,2019,si,81,,
CIV,Côte d'Ivoire,dtp3,2020,si,75,,
CIV,Côte d'Ivoire,dtp3,2021,si,76,,
CMR,Cameroon,dtp1,2019,si,75,223522,25
CMR,Cameroon,dtp1,2020,si,77,207739,23
CMR,Cameroon,dtp1,2021,si,76,219207,24
CMR,Cameroon,dtp3,2019,si,67,,
CMR,Cameroon,dtp3,2020,si,69,,
CMR,Cameroon,dtp3,2021,si,69,,
COD,Democratic Republic of the Congo,dtp1,2019,si,84,587084,16
COD,Democratic Republic of the Congo,dtp1,2020,si,83,639199,17
COD,Democratic Republic of the Congo,dtp1,2021,si,81,734287,19
COD,Democratic Republic of the Congo,dtp3,2019,si,73,,
COD,Democratic Republic of the Congo,dtp3,2020,si,70,,
COD,Democratic Republic of the Congo,dtp3,2021,si,65,,
COG,Congo,dtp1,2019,si,82,30822,18
COG,Congo,dtp1,2020,si,77,39730,23
COG,Congo,dtp1,2021,si,81,33114,19
COG,Congo,dtp3,2019,si,79,,
COG,Congo,dtp3,2020,si,73,,
COG,Congo,dtp3,2021,si,77,,
COM,Comoros,dtp1,2019,si,96,926,4
COM,Comoros,dtp1,2020,si,93,1625,7
COM,Comoros,dtp1,2021,si,95,1164,5
COM,Comoros,dtp3,2019,si,91,,
COM,Comoros,dtp3,2020,si,87,,
COM,Comoros,dtp3,2021,si,85,,
DJI,Djibouti,dtp1,2019,si,90,2358,10
DJI,Djibouti,dtp1,2020,si,76,5683,24
DJI,Djibouti,dtp1,2021,si,70,7122,30
DJI,Djibouti,dtp3,2019,si,85,,
DJI,Djibouti,dtp3,2020,si,70,,
DJI,Djibouti,dtp3,2021,si,59,,
ERI,Eritrea,dtp1,2019,si,97,2970,3
ERI,Eritrea,dtp1,2020,si,97,2990,3
ERI,Eritrea,dtp1,2021,si,97,3037,3
ERI,Eritrea,dtp3,2019,si,95,,
ERI,Eritrea,dtp3,2020,si,95,,
ERI,Eritrea,dtp3,2021,si,95,,
ETH,Ethiopia,dtp1,2019,si,76,879223,24
ETH,Ethiopia,dtp1,2020,si,76,894034,24
ETH,Ethiopia,dtp1,2021,si,70,1134182,30
ETH,Ethiopia,dtp3,2019,si,68,,
ETH,Ethiopia,dtp3,2020,si,71,,
ETH,Ethiopia,dtp3,2021,si,65,,
GHA,Ghana,dtp1,2019,si,97,26240,3
GHA,Ghana,dtp1,2020,si,94,52595,6
GHA,Ghana,dtp1,2021,si,99,8796,1
GHA,Ghana,dtp3,2019,si,97,,
GHA,Ghana,dtp3,2020,si,94,,
GHA,Ghana,dtp3,2021,si,98,,
GIN,Guinea,dtp1,2019,si,62,164515,38
GIN,Guinea,dtp1,2020,si,62,166511,38
GIN,Guinea,dtp1,2021,si,62,168258,38
GIN,Guinea,dtp3,2019,si,47,,
GIN,Guinea,dtp3,2020,si,47,,
GIN,Guinea,dtp3,2021,si,47,,
GMB,Gambia,dtp1,2019,si,93,5857,7
GMB,Gambia,dtp1,2020,si,88,10136,12
GMB,Gambia,dtp1,2021,si,82,15391,18
GMB,Gambia,dtp3,2019,si,88,,
GMB,Gambia,dtp3,2020,si,85,,
GMB,Gambia,dtp3,2021,si,82,,
GNB,Guinea-Bissau,dtp1,2019,si,86,8479,14
GNB,Guinea-Bissau,dtp1,2020,si,87,7941,13
GNB,Guinea-Bissau,dtp1,2021,si,81,11680,19
GNB,Guinea-Bissau,dtp3,2019,si,78,,
GNB,Guinea-Bissau,dtp3,2020,si,74,,
GNB,Guinea-Bissau,dtp3,2021,si,67,,
HTI,Haiti,dtp1,2019,si,75,65254,25
HTI,Haiti,dtp1,2020,si,75,65158,25
HTI,Haiti,dtp1,2021,si,75,64788,25
HTI,Haiti,dtp3,2019,si,51,,
HTI,Haiti,dtp3,2020,si,51,,
HTI,Haiti,dtp3,2021,si,51,,
IND,India,dtp1,2019,si,94,1380301,6
IND,India,dtp1,2020,si,87,2937372,13
IND,India,dtp1,2021,si,88,2710956,12
IND,India,dtp3,2019,si,91,,
IND,India,dtp3,2020,si,85,,
IND,India,dtp3,2021,si,85,,
KEN,Kenya,dtp1,2019,si,97,42360,3
KEN,Kenya,dtp1,2020,si,94,85044,6
KEN,Kenya,dtp1,2021,si,99,14302,1
KEN,Kenya,dtp3,2019,si,91,,
KEN,Kenya,dtp3,2020,si,89,,
KEN,Kenya,dtp3,2021,si,91,,
KGZ,Kyrgyzstan,dtp1,2019,si,99,1645,1
KGZ,Kyrgyzstan,dtp1,2020,si,90,15836,10
KGZ,Kyrgyzstan,dtp1,2021,si,89,17114,11
KGZ,Kyrgyzstan,dtp3,2019,si,95,,
KGZ,Kyrgyzstan,dtp3,2020,si,87,,
KGZ,Kyrgyzstan,dtp3,2021,si,89,,
KHM,Cambodia,dtp1,2019,si,94,19358,6
KHM,Cambodia,dtp1,2020,si,94,19162,6
KHM,Cambodia,dtp1,2021,si,94,18896,6
KHM,Cambodia,dtp3,2019,si,92,,
KHM,Cambodia,dtp3,2020,si,92,,
KHM,Cambodia,dtp3,2021,si,92,,
LAO,Lao People's Democratic Republic,dtp1,2019,si,86,22304,14
LAO,Lao People's Democratic Republic,dtp1,2020,si,87,20727,13
LAO,Lao People's Democratic Republic,dtp1,2021,si,85,23766,15
LAO,Lao People's Democratic Republic,dtp3,2019,si,80,,
LAO,Lao People's Democratic Republic,dtp3,2020,si,79,,
LAO,Lao People's Democratic Republic,dtp3,2021,si,75,,
LBR,Liberia,dtp1,2019,si,86,21457,14
LBR,Liberia,dtp1,2020,si,82,27737,18
LBR,Liberia,dtp1,2021,si,81,29523,19
LBR,Liberia,dtp3,2019,si,70,,
LBR,Liberia,dtp3,2020,si,65,,
LBR,Liberia,dtp3,2021,si,66,,
LSO,Lesotho,dtp1,2019,si,92,4537,8
LSO,Lesotho,dtp1,2020,si,92,4517,8
LSO,Lesotho,dtp1,2021,si,92,4528,8
LSO,Lesotho,dtp3,2019,si,87,,
LSO,Lesotho,dtp3,2020,si,87,,
LSO,Lesotho,dtp3,2021,si,87,,
MDG,Madagascar,dtp1,2019,si,76,202878,24
MDG,Madagascar,dtp1,2020,si,73,231496,27
MDG,Madagascar,dtp1,2021,si,65,303775,35
MDG,Madagascar,dtp3,2019,si,68,,
MDG,Madagascar,dtp3,2020,si,66,,
MDG,Madagascar,dtp3,2021,si,55,,
MLI,Mali,dtp1,2019,si,82,149810,18
MLI,Mali,dtp1,2020,si,75,212865,25
MLI,Mali,dtp1,2021,si,82,157055,18
MLI,Mali,dtp3,2019,si,77,,
MLI,Mali,dtp3,2020,si,70,,
MLI,Mali,dtp3,2021,si,77,,
MMR,Myanmar,dtp1,2019,si,93,63637,7
MMR,Myanmar,dtp1,2020,si,87,117072,13
MMR,Myanmar,dtp1,2021,si,45,491542,55
MMR,Myanmar,dtp3,2019,si,90,,
MMR,Myanmar,dtp3,2020,si,84,,
MMR,Myanmar,dtp3,2021,si,37,,
MOZ,Mozambique,dtp1,2019,si,91,97446,9
MOZ,Mozambique,dtp1,2020,si,83,187708,17
MOZ,Mozambique,dtp1,2021,si,67,371514,33
MOZ,Mozambique,dtp3,2019,si,88,,
MOZ,Mozambique,dtp3,2020,si,79,,
MOZ,Mozambique,dtp3,2021,si,61,,
MRT,Mauritania,dtp1,2019,si,88,17062,12
MRT,Mauritania,dtp1,2020,si,80,28946,20
MRT,Mauritania,dtp1,2021,si,75,36891,25
MRT,Mauritania,dtp3,2019,si,80,,
MRT,Mauritania,dtp3,2020,si,72,,
MRT,Mauritania,dtp3,2021,si,68,,
MWI,Malawi,dtp1,2019,si,97,18524,3
MWI,Malawi,dtp1,2020,si,95,31396,5
MWI,Malawi,dtp1,2021,si,95,31893,5
MWI,Malawi,dtp3,2019,si,95,,
MWI,Malawi,dtp3,2020,si,94,,
MWI,Malawi,dtp3,2021,si,93,,
NER,Niger,dtp1,2019,si,92,82898,8
NER,Niger,dtp1,2020,si,93,74893,7
NER,Niger,dtp1,2021,si,94,66241,6
NER,Niger,dtp3,2019,si,81,,
NER,Niger,dtp3,2020,si,81,,
